date,agegroup,hosp
2023-09-30,18-49,17.4285714285714
2023-09-30,50-64,29.7857142857143
2023-09-30,65+,131.785714285714
2023-10-07,0-17,6
2023-10-07,18-49,15
2023-10-07,50-64,24.2142857142857
2023-10-07,65+,115.071428571429
2023-10-14,0-17,5
2023-10-14,18-49,14.4285714285714
2023-10-14,50-64,24.4285714285714
2023-10-14,65+,99.5714285714286
2023-10-21,0-17,5.28571428571429
2023-10-21,18-49,12.1428571428571
2023-10-21,50-64,20.2142857142857
2023-10-21,65+,94.0714285714286
2023-10-28,0-17,7
2023-10-28,18-49,12.2857142857143
2023-10-28,50-64,15.4285714285714
2023-10-28,65+,81
2023-11-04,0-17,4
2023-11-04,18-49,11.4285714285714
2023-11-04,50-64,15.5
2023-11-04,65+,88.0714285714286
2023-11-11,0-17,4.85714285714286
2023-11-11,18-49,10.8571428571429
2023-11-11,50-64,12.9285714285714
2023-11-11,65+,73.0714285714286
2023-11-18,0-17,4.42857142857143
2023-11-18,18-49,8.14285714285714
2023-11-18,50-64,15.1428571428571
2023-11-18,65+,74.1428571428572
2023-11-25,0-17,5
2023-11-25,18-49,10.4285714285714
2023-11-25,50-64,14.4285714285714
2023-11-25,65+,70.4285714285714
2023-12-02,0-17,4
2023-12-02,18-49,11
2023-12-02,50-64,14.5714285714286
2023-12-02,65+,83.4285714285714
2023-12-09,0-17,4.28571428571429
2023-12-09,18-49,12.2857142857143
2023-12-09,50-64,16.4285714285714
2023-12-09,65+,93.7142857142857
2023-12-16,0-17,7
2023-12-16,18-49,14.5714285714286
2023-12-16,50-64,21.5714285714286
2023-12-16,65+,118.285714285714
2023-12-23,0-17,10.4285714285714
2023-12-23,18-49,19
2023-12-23,50-64,29.3571428571429
2023-12-23,65+,139.5
2023-12-30,0-17,8
2023-12-30,18-49,25
2023-12-30,50-64,33.7142857142857
2023-12-30,65+,179.714285714286
2023-12-31,0-17,14.25
2023-12-31,18-49,53.5
2023-12-31,50-64,73.25
2023-12-31,65+,327.5
2024-01-06,0-17,11.3333333333333
2024-01-06,18-49,31.3333333333333
2024-01-06,50-64,39
2024-01-06,65+,218.833333333333
2024-01-13,0-17,9.57142857142857
2024-01-13,18-49,43
2024-01-13,50-64,39.7857142857143
2024-01-13,65+,195.642857142857
2024-01-20,0-17,10
2024-01-20,18-49,31.2857142857143
2024-01-20,50-64,42.3571428571429
2024-01-20,65+,194.357142857143
2024-01-27,0-17,10.5714285714286
2024-01-27,18-49,27.7142857142857
2024-01-27,50-64,45.6428571428572
2024-01-27,65+,199.642857142857
2024-02-03,0-17,11.1428571428571
2024-02-03,18-49,30.8571428571429
2024-02-03,50-64,42.4285714285714
2024-02-03,65+,190.285714285714
2024-02-10,0-17,11.1428571428571
2024-02-10,18-49,31.1428571428571
2024-02-10,50-64,39.1428571428571
2024-02-10,65+,177.142857142857
2024-02-17,0-17,12.8571428571429
2024-02-17,18-49,29.1428571428571
2024-02-17,50-64,35.7857142857143
2024-02-17,65+,171.928571428571
2024-02-24,0-17,10.4285714285714
2024-02-24,18-49,23
2024-02-24,50-64,31.2142857142857
2024-02-24,65+,150.785714285714
2024-03-02,0-17,6.85714285714286
2024-03-02,18-49,20.5714285714286
2024-03-02,50-64,27.1428571428571
2024-03-02,65+,136.714285714286
2024-03-09,0-17,7.14285714285714
2024-03-09,18-49,15.7142857142857
2024-03-09,50-64,24.2142857142857
2024-03-09,65+,114.928571428571
2024-03-16,0-17,5.14285714285714
2024-03-16,18-49,13
2024-03-16,50-64,18.8571428571429
2024-03-16,65+,88
2024-03-23,0-17,5.57142857142857
2024-03-23,18-49,11.5714285714286
2024-03-23,50-64,16.3571428571429
2024-03-23,65+,71.7857142857143
2024-03-30,0-17,5.85714285714286
2024-03-30,18-49,10.5714285714286
2024-03-30,50-64,12.7857142857143
2024-03-30,65+,62.3571428571429
2024-04-06,0-17,3.28571428571429
2024-04-06,18-49,6.14285714285714
2024-04-06,50-64,13.3571428571429
2024-04-06,65+,55.3571428571429
