date,age,rate,n,region,quarter,infected
2022-05-15,50-64,54.8689309640504,4,FL,2,0.499681493673262
2022-08-15,50-64,83.6826792463148,6,FL,3,0.499681493673262
2022-11-15,50-64,93.3045918669705,7,FL,4,0.499681493673262
2022-02-15,65+,,0,FL,1,0.382322340286544
2022-05-15,65+,,0,FL,2,0.382322340286544
2022-08-15,65+,24.7749042814925,1,FL,3,0.382322340286544
2022-11-15,65+,22.1630618644324,1,FL,4,0.382322340286544
2022-02-15,18-49,64.4825440589912,268,GA,1,0.644825440589912
2022-05-15,18-49,76.3036302264634,296,GA,2,0.644825440589912
2022-08-15,18-49,85.6848176683663,331,GA,3,0.644825440589912
2022-11-15,18-49,88.5361337480879,312,GA,4,0.644825440589912
2022-02-15,50-64,59.9674813173024,447,GA,1,0.599674813173024
2022-05-15,50-64,64.7836087620338,483,GA,2,0.599674813173024
2022-08-15,50-64,74.6353455252145,549,GA,3,0.599674813173024
2022-11-15,50-64,79.5065081829997,550,GA,4,0.599674813173024
2022-02-15,65+,44.3513751691376,216,GA,1,0.443513751691376
2022-05-15,65+,48.1125778267674,231,GA,2,0.443513751691376
2022-08-15,65+,64.8200371691396,291,GA,3,0.443513751691376
2022-11-15,65+,69.6360718896543,314,GA,4,0.443513751691376
2022-02-15,18-49,68.271815610977,232,ID,1,0.68271815610977
2022-05-15,18-49,80.8886930836816,272,ID,2,0.68271815610977
2022-08-15,18-49,86.1909048745666,298,ID,3,0.68271815610977
2022-11-15,18-49,89.4870673432626,302,ID,4,0.68271815610977
2022-02-15,50-64,64.9603837372724,269,ID,1,0.649603837372724
2022-05-15,50-64,69.4856994387026,297,ID,2,0.649603837372724
2022-08-15,50-64,77.9504011692601,312,ID,3,0.649603837372724
2022-11-15,50-64,82.8429653407835,331,ID,4,0.649603837372724
2022-02-15,65+,53.8289068553065,173,ID,1,0.538289068553065
2022-05-15,65+,61.3592281262374,212,ID,2,0.538289068553065
2022-08-15,65+,70.224542443764,248,ID,3,0.538289068553065
2022-11-15,65+,73.9681047783696,267,ID,4,0.538289068553065
2022-02-15,18-49,65.1067670282629,262,IL,1,0.651067670282629
2022-05-15,18-49,77.6924089932758,280,IL,2,0.651067670282629
2022-08-15,18-49,81.871761452103,298,IL,3,0.651067670282629
2022-11-15,18-49,90.4099430172783,292,IL,4,0.651067670282629
2022-02-15,50-64,56.3130778715165,291,IL,1,0.563130778715165
2022-05-15,50-64,60.8128826120966,340,IL,2,0.563130778715165
2022-08-15,50-64,73.7976490002109,371,IL,3,0.563130778715165
2022-11-15,50-64,72.2600257016084,413,IL,4,0.563130778715165
2022-02-15,65+,39.0939228744825,155,IL,1,0.390939228744825
2022-05-15,65+,41.9920430976904,195,IL,2,0.390939228744825
2022-08-15,65+,54.5074996226415,239,IL,3,0.390939228744825
2022-11-15,65+,71.978881832201,257,IL,4,0.390939228744825
2022-02-15,18-49,64.6487183711051,194,IN,1,0.646487183711051
2022-05-15,18-49,74.833452801333,241,IN,2,0.646487183711051
2022-08-15,18-49,85.710409021514,254,IN,3,0.646487183711051
2022-11-15,18-49,94.552172203546,236,IN,4,0.646487183711051
2022-02-15,50-64,55.1337815940018,391,IN,1,0.551337815940018
2022-05-15,50-64,60.0837918218914,404,IN,2,0.551337815940018
2022-08-15,50-64,70.242845078614,439,IN,3,0.551337815940018
2022-11-15,50-64,75.882351677458,455,IN,4,0.551337815940018
2022-02-15,65+,39.5354978660608,188,IN,1,0.395354978660608
2022-05-15,65+,44.2331876771325,235,IN,2,0.395354978660608
2022-08-15,65+,54.9430224129771,260,IN,3,0.395354978660608
2022-11-15,65+,62.1016139760181,305,IN,4,0.395354978660608
2022-02-15,18-49,70.670003341174,64,IA,1,0.70670003341174
2022-05-15,18-49,70.1011689232643,67,IA,2,0.70670003341174
2022-08-15,18-49,84.9630783863877,62,IA,3,0.70670003341174
2022-11-15,18-49,91.9120635670718,68,IA,4,0.70670003341174
2022-02-15,50-64,67.6132656236962,98,IA,1,0.676132656236962
2022-05-15,50-64,69.7597826009582,107,IA,2,0.676132656236962
2022-08-15,50-64,84.2652659159435,118,IA,3,0.676132656236962
2022-11-15,50-64,91.4841120766515,110,IA,4,0.676132656236962
2022-02-15,65+,52.8559474319987,57,IA,1,0.528559474319987
2022-05-15,65+,61.7168433657635,67,IA,2,0.528559474319987
2022-08-15,65+,73.9708007387808,83,IA,3,0.528559474319987
2022-11-15,65+,81.2981999733092,87,IA,4,0.528559474319987
2022-02-15,18-49,62.1215102941453,286,KS,1,0.621215102941453
2022-05-15,18-49,71.2961009297197,315,KS,2,0.621215102941453
2022-08-15,18-49,78.6097462316572,331,KS,3,0.621215102941453
2022-11-15,18-49,80.7032969916368,347,KS,4,0.621215102941453
2022-02-15,50-64,58.7524160200537,344,KS,1,0.587524160200537
2022-05-15,50-64,65.622583517873,399,KS,2,0.587524160200537
2022-08-15,50-64,71.547633330625,403,KS,3,0.587524160200537
2022-11-15,50-64,77.3445404021582,426,KS,4,0.587524160200537
2022-02-15,65+,46.3985429741611,197,KS,1,0.463985429741611
2022-05-15,65+,50.3494829096261,224,KS,2,0.463985429741611
2022-08-15,65+,59.2170554222337,237,KS,3,0.463985429741611
2022-11-15,65+,70.3506948492367,276,KS,4,0.463985429741611
2022-02-15,18-49,61.2398215805863,103,KY,1,0.612398215805863
2022-05-15,18-49,63.2696975851559,130,KY,2,0.612398215805863
2022-08-15,18-49,80.4469607479531,142,KY,3,0.612398215805863
2022-11-15,18-49,87.2571295717937,136,KY,4,0.612398215805863
2022-02-15,50-64,51.2845510564838,157,KY,1,0.512845510564838
2022-05-15,50-64,69.454848452087,186,KY,2,0.512845510564838
2022-08-15,50-64,78.8253042072099,203,KY,3,0.512845510564838
2022-11-15,50-64,82.7795673166648,204,KY,4,0.512845510564838
2022-02-15,65+,35.6021263798548,77,KY,1,0.356021263798548
2022-05-15,65+,49.3639722069876,96,KY,2,0.356021263798548
2022-08-15,65+,62.0113649376769,117,KY,3,0.356021263798548
2022-11-15,65+,66.984779121549,132,KY,4,0.356021263798548
2022-02-15,18-49,69.8721919990921,139,LA,1,0.698721919990921
2022-05-15,18-49,79.9208078011562,165,LA,2,0.698721919990921
2022-08-15,18-49,88.6305691764166,156,LA,3,0.698721919990921
2022-11-15,18-49,88.408511329692,178,LA,4,0.698721919990921
2022-02-15,50-64,64.0215560226161,156,LA,1,0.640215560226161
2022-05-15,50-64,71.2108708703767,186,LA,2,0.640215560226161
2022-08-15,50-64,79.3991490160106,180,LA,3,0.640215560226161
2022-11-15,50-64,76.9920704589344,184,LA,4,0.640215560226161
2022-02-15,65+,53.1224180225357,50,LA,1,0.531224180225357
2022-05-15,65+,59.9569317229061,50,LA,2,0.531224180225357
2022-08-15,65+,78.3750976278908,70,LA,3,0.531224180225357
2022-11-15,65+,87.7094183165684,75,LA,4,0.531224180225357
2022-02-15,18-49,38.3285494294029,30,ME,1,0.383285494294029
2022-05-15,18-49,57.5648123435339,40,ME,2,0.383285494294029
2022-08-15,18-49,80.4870218990071,56,ME,3,0.383285494294029
2022-11-15,18-49,84.7897733719456,50,ME,4,0.383285494294029
2022-02-15,50-64,33.651942330872,68,ME,1,0.33651942330872
2022-05-15,50-64,43.7220292053907,86,ME,2,0.33651942330872
2022-08-15,50-64,61.7205722941765,117,ME,3,0.33651942330872
2022-11-15,50-64,64.0178171262581,110,ME,4,0.33651942330872
2022-02-15,65+,21.5962758052929,35,ME,1,0.215962758052929
2022-05-15,65+,27.6271090642127,45,ME,2,0.215962758052929
2022-08-15,65+,39.8466988867144,66,ME,3,0.215962758052929
2022-11-15,65+,53.6428121073261,86,ME,4,0.215962758052929
2022-02-15,18-49,58.3767867217664,116,MD,1,0.583767867217664
2022-05-15,18-49,67.9172074011326,119,MD,2,0.583767867217664
2022-08-15,18-49,78.9669568746211,143,MD,3,0.583767867217664
2022-11-15,18-49,84.7389067381586,148,MD,4,0.583767867217664
2022-02-15,50-64,36.9129172089679,157,MD,1,0.369129172089679
2022-05-15,50-64,44.0937977194722,168,MD,2,0.369129172089679
2022-08-15,50-64,60.3388291549242,218,MD,3,0.369129172089679
2022-11-15,50-64,64.9266831242642,242,MD,4,0.369129172089679
2022-02-15,65+,22.2170311584724,61,MD,1,0.222170311584724
2022-05-15,65+,30.1609965290939,71,MD,2,0.222170311584724
2022-08-15,65+,48.9865974396705,123,MD,3,0.222170311584724
2022-11-15,65+,53.2415879915912,147,MD,4,0.222170311584724
2022-02-15,18-49,55.1752291926715,117,MA,1,0.551752291926715
2022-05-15,18-49,69.199605064561,138,MA,2,0.551752291926715
2022-08-15,18-49,79.4654837002317,184,MA,3,0.551752291926715
2022-11-15,18-49,90.4995508739638,198,MA,4,0.551752291926715
2022-02-15,50-64,50.505378331633,204,MA,1,0.50505378331633
2022-05-15,50-64,62.5344017051711,259,MA,2,0.50505378331633
2022-08-15,50-64,72.487863154104,325,MA,3,0.50505378331633
2022-11-15,50-64,79.7212480073586,375,MA,4,0.50505378331633
2022-02-15,65+,39.0665348629517,89,MA,1,0.390665348629517
2022-05-15,65+,50.6574053298608,123,MA,2,0.390665348629517
2022-08-15,65+,59.1161478683719,166,MA,3,0.390665348629517
2022-11-15,65+,71.4278573054582,208,MA,4,0.390665348629517
2022-02-15,18-49,61.5046408486782,237,MI,1,0.615046408486782
2022-05-15,18-49,70.107889424748,296,MI,2,0.615046408486782
2022-08-15,18-49,78.7111200908733,325,MI,3,0.615046408486782
2022-11-15,18-49,81.5853847525293,334,MI,4,0.615046408486782
2022-02-15,50-64,48.9085943117835,462,MI,1,0.489085943117835
2022-05-15,50-64,63.3756285150617,583,MI,2,0.489085943117835
2022-08-15,50-64,68.4120382877005,625,MI,3,0.489085943117835
2022-11-15,50-64,80.0015703954574,708,MI,4,0.489085943117835
2022-02-15,65+,35.3965895404974,303,MI,1,0.353965895404974
2022-05-15,65+,45.0429332590224,408,MI,2,0.353965895404974
2022-08-15,65+,55.5957720620544,488,MI,3,0.353965895404974
2022-11-15,65+,68.1365726132822,582,MI,4,0.353965895404974
2022-02-15,18-49,62.4660335283726,389,MN,1,0.624660335283726
2022-05-15,18-49,72.5827239204119,492,MN,2,0.624660335283726
2022-08-15,18-49,82.6245895293828,520,MN,3,0.624660335283726
2022-11-15,18-49,86.3609725742921,518,MN,4,0.624660335283726
2022-02-15,50-64,59.7850472452823,543,MN,1,0.597850472452823
2022-05-15,50-64,67.5618749500513,655,MN,2,0.597850472452823
2022-08-15,50-64,76.9865501456854,725,MN,3,0.597850472452823
2022-11-15,50-64,82.0226180270578,763,MN,4,0.597850472452823
2022-02-15,65+,49.8081566673876,330,MN,1,0.498081566673876
2022-05-15,65+,63.3415489543122,432,MN,2,0.498081566673876
2022-08-15,65+,71.9221113983992,525,MN,3,0.498081566673876
2022-11-15,65+,81.8766157906748,607,MN,4,0.498081566673876
2022-02-15,18-49,72.2885859531718,141,MS,1,0.722885859531718
2022-05-15,18-49,76.2606720776193,194,MS,2,0.722885859531718
2022-08-15,18-49,86.4901071475222,162,MS,3,0.722885859531718
2022-11-15,18-49,86.5626384660989,184,MS,4,0.722885859531718
2022-02-15,50-64,62.6375343183948,137,MS,1,0.626375343183948
2022-05-15,50-64,73.8457715464958,157,MS,2,0.626375343183948
2022-08-15,50-64,81.2439233314138,173,MS,3,0.626375343183948
2022-11-15,50-64,82.6791118229498,178,MS,4,0.626375343183948
2022-02-15,65+,50.5350192310892,67,MS,1,0.505350192310892
2022-05-15,65+,49.1647531840904,72,MS,2,0.505350192310892
2022-08-15,65+,68.9484037559594,77,MS,3,0.505350192310892
2022-11-15,65+,71.8046672312656,82,MS,4,0.505350192310892
2022-02-15,18-49,58.9283068354466,232,MO,1,0.589283068354466
2022-05-15,18-49,72.2169980613714,270,MO,2,0.589283068354466
2022-08-15,18-49,80.1519169646643,283,MO,3,0.589283068354466
2022-11-15,18-49,85.7713272058753,266,MO,4,0.589283068354466
2022-02-15,50-64,50.26691441953,336,MO,1,0.5026691441953
2022-05-15,50-64,51.3228368598443,365,MO,2,0.5026691441953
2022-08-15,50-64,70.3051645887001,414,MO,3,0.5026691441953
2022-11-15,50-64,75.1835406779594,410,MO,4,0.5026691441953
2022-02-15,65+,37.5547118247736,150,MO,1,0.375547118247736
2022-05-15,65+,43.8406917819522,181,MO,2,0.375547118247736
2022-08-15,65+,60.8564050683894,218,MO,3,0.375547118247736
2022-11-15,65+,68.8900369253199,229,MO,4,0.375547118247736
2022-02-15,18-49,66.5610629604104,268,MT,1,
2022-05-15,18-49,79.7086485764367,299,MT,2,
2022-08-15,18-49,83.737240460693,283,MT,3,
2022-11-15,18-49,91.5794588454562,300,MT,4,
2022-02-15,50-64,65.8318797856444,256,MT,1,
2022-05-15,50-64,72.9686179720013,286,MT,2,
2022-08-15,50-64,79.1708653157654,310,MT,3,
2022-11-15,50-64,86.2798732395176,325,MT,4,
2022-02-15,65+,46.052935762462,176,MT,1,
2022-05-15,65+,57.3174742414169,202,MT,2,
2022-08-15,65+,63.055511227468,223,MT,3,
2022-11-15,65+,69.0766089344432,226,MT,4,
2022-02-15,18-49,66.925188373332,322,NE,1,0.66925188373332
2022-05-15,18-49,81.6958966051,365,NE,2,0.66925188373332
2022-08-15,18-49,84.0203030513219,336,NE,3,0.66925188373332
2022-11-15,18-49,93.4171280106775,339,NE,4,0.66925188373332
2022-02-15,50-64,62.7605971072667,372,NE,1,0.627605971072667
2022-05-15,50-64,69.0046279981953,456,NE,2,0.627605971072667
2022-08-15,50-64,75.4280050008072,458,NE,3,0.627605971072667
2022-11-15,50-64,79.4506492104913,436,NE,4,0.627605971072667
2022-02-15,65+,49.3040289833468,222,NE,1,0.493040289833468
2022-05-15,65+,56.0726835151885,249,NE,2,0.493040289833468
2022-08-15,65+,63.3103566521234,272,NE,3,0.493040289833468
2022-11-15,65+,67.1181574750424,281,NE,4,0.493040289833468
2022-02-15,18-49,65.9773433112123,608,NV,1,0.659773433112123
2022-05-15,18-49,75.2127233635689,681,NV,2,0.659773433112123
2022-08-15,18-49,88.3829080452735,729,NV,3,0.659773433112123
2022-11-15,18-49,90.4199242465881,699,NV,4,0.659773433112123
2022-02-15,50-64,53.7776001190695,498,NV,1,0.537776001190695
2022-05-15,50-64,65.315719857921,574,NV,2,0.537776001190695
2022-08-15,50-64,78.2249564373245,659,NV,3,0.537776001190695
2022-11-15,50-64,85.2070447001385,671,NV,4,0.537776001190695
2022-02-15,65+,35.1718260939337,232,NV,1,0.351718260939337
2022-05-15,65+,43.0974290010389,278,NV,2,0.351718260939337
2022-08-15,65+,59.396717866385,348,NV,3,0.351718260939337
2022-11-15,65+,65.7371012217798,355,NV,4,0.351718260939337
2022-02-15,18-49,53.652220250355,62,NH,1,
2022-05-15,18-49,69.4097220464504,79,NH,2,
2022-08-15,18-49,81.6314364458245,84,NH,3,
2022-11-15,18-49,83.0572807256597,84,NH,4,
2022-02-15,50-64,55.7834648536803,96,NH,1,
2022-05-15,50-64,68.625608944307,131,NH,2,
2022-08-15,50-64,75.9618030354569,153,NH,3,
2022-11-15,50-64,83.4098871675348,171,NH,4,
2022-02-15,65+,26.7367360116546,39,NH,1,
2022-05-15,65+,46.5133533519869,77,NH,2,
2022-08-15,65+,62.5429132580584,113,NH,3,
2022-11-15,65+,69.7583706004124,131,NH,4,
2022-02-15,18-49,63.4171955077964,88,NJ,1,0.634171955077964
2022-05-15,18-49,76.0453739001209,105,NJ,2,0.634171955077964
2022-08-15,18-49,75.9233873884862,111,NJ,3,0.634171955077964
2022-11-15,18-49,80.3353691280133,104,NJ,4,0.634171955077964
2022-02-15,50-64,52.0385521821642,158,NJ,1,0.520385521821642
2022-05-15,50-64,62.7065312316643,176,NJ,2,0.520385521821642
2022-08-15,50-64,75.029791849747,211,NJ,3,0.520385521821642
2022-11-15,50-64,81.2788168276842,210,NJ,4,0.520385521821642
2022-02-15,65+,37.0684060970849,63,NJ,1,0.370684060970849
2022-05-15,65+,63.0029001311035,95,NJ,2,0.370684060970849
2022-08-15,65+,74.4684570436784,121,NJ,3,0.370684060970849
2022-11-15,65+,82.2785017057017,127,NJ,4,0.370684060970849
2022-02-15,18-49,52.8180694708635,369,NM,1,0.528180694708635
2022-05-15,18-49,64.6012743001621,429,NM,2,0.528180694708635
2022-08-15,18-49,75.7236092412955,472,NM,3,0.528180694708635
2022-11-15,18-49,83.5240434130429,532,NM,4,0.528180694708635
2022-02-15,50-64,43.7530748199405,321,NM,1,0.437530748199405
2022-05-15,50-64,53.5246630252966,383,NM,2,0.437530748199405
2022-08-15,50-64,66.2911968837254,444,NM,3,0.437530748199405
2022-11-15,50-64,73.3733142658766,485,NM,4,0.437530748199405
2022-02-15,65+,30.4711905522945,148,NM,1,0.304711905522945
2022-05-15,65+,40.6569703790938,178,NM,2,0.304711905522945
2022-08-15,65+,52.5409732491258,229,NM,3,0.304711905522945
2022-11-15,65+,60.5436958283627,250,NM,4,0.304711905522945
2022-02-15,18-49,64.7744066157893,219,NY,1,0.647744066157893
2022-05-15,18-49,81.8764297778987,316,NY,2,0.647744066157893
2022-08-15,18-49,86.4219000109694,350,NY,3,0.647744066157893
2022-11-15,18-49,94.4422111370002,373,NY,4,0.647744066157893
2022-02-15,50-64,58.3639390521761,405,NY,1,0.583639390521761
2022-05-15,50-64,65.7369759457264,533,NY,2,0.583639390521761
2022-08-15,50-64,80.3803180060749,615,NY,3,0.583639390521761
2022-11-15,50-64,88.9050459006404,679,NY,4,0.583639390521761
2022-02-15,65+,47.1040069432252,205,NY,1,0.471040069432252
2022-05-15,65+,66.0109996611724,339,NY,2,0.471040069432252
2022-08-15,65+,75.5853661094733,421,NY,3,0.471040069432252
2022-11-15,65+,87.2258125351197,506,NY,4,0.471040069432252
2022-02-15,18-49,57.0585065897566,213,NC,1,0.570585065897566
2022-05-15,18-49,72.5334693487317,278,NC,2,0.570585065897566
2022-08-15,18-49,78.1822610122188,290,NC,3,0.570585065897566
2022-11-15,18-49,87.55781629045,325,NC,4,0.570585065897566
2022-02-15,50-64,44.2179466052272,433,NC,1,0.442179466052272
2022-05-15,50-64,49.4752354208531,479,NC,2,0.442179466052272
2022-08-15,50-64,60.4926315442657,587,NC,3,0.442179466052272
2022-11-15,50-64,67.0299002029111,608,NC,4,0.442179466052272
2022-02-15,65+,30.5373660111509,271,NC,1,0.305373660111509
2022-05-15,65+,38.9823149914832,343,NC,2,0.305373660111509
2022-08-15,65+,57.4015372877376,445,NC,3,0.305373660111509
2022-11-15,65+,61.9949660076754,532,NC,4,0.305373660111509
2022-02-15,18-49,66.4315759262198,544,OH,1,0.664315759262198
2022-05-15,18-49,76.8311325307921,626,OH,2,0.664315759262198
2022-08-15,18-49,84.2425878382222,696,OH,3,0.664315759262198
2022-11-15,18-49,88.1323089338382,713,OH,4,0.664315759262198
2022-02-15,50-64,58.0820512794722,846,OH,1,0.580820512794722
2022-05-15,50-64,64.2448690300053,989,OH,2,0.580820512794722
2022-08-15,50-64,74.9745004528298,1131,OH,3,0.580820512794722
2022-11-15,50-64,79.7362377792516,1173,OH,4,0.580820512794722
2022-02-15,65+,42.4083431752375,488,OH,1,0.424083431752375
2022-05-15,65+,50.4416416843325,572,OH,2,0.424083431752375
2022-08-15,65+,65.6652364059316,739,OH,3,0.424083431752375
2022-11-15,65+,71.625367037775,807,OH,4,0.424083431752375
2022-02-15,18-49,70.1564597549597,37,OK,1,0.701564597549597
2022-05-15,18-49,79.0882246548906,41,OK,2,0.701564597549597
2022-08-15,18-49,79.1217839364439,40,OK,3,0.701564597549597
2022-11-15,18-49,96.9472113837876,46,OK,4,0.701564597549597
2022-02-15,50-64,66.0925615108791,73,OK,1,0.660925615108791
2022-05-15,50-64,68.7458885498795,79,OK,2,0.660925615108791
2022-08-15,50-64,79.9181970899398,82,OK,3,0.660925615108791
2022-11-15,50-64,90.9603157353643,87,OK,4,0.660925615108791
2022-02-15,65+,55.124706290967,41,OK,1,0.55124706290967
2022-05-15,65+,56.3253461605141,44,OK,2,0.55124706290967
2022-08-15,65+,61.4674713767138,51,OK,3,0.55124706290967
2022-11-15,65+,74.2255280638159,63,OK,4,0.55124706290967
2022-02-15,18-49,46.2798996614931,145,OR,1,0.462798996614931
2022-05-15,18-49,59.3405802396727,192,OR,2,0.462798996614931
2022-08-15,18-49,77.95159162985,249,OR,3,0.462798996614931
2022-11-15,18-49,83.5088220738897,230,OR,4,0.462798996614931
2022-02-15,50-64,39.4252091472382,137,OR,1,0.394252091472382
2022-05-15,50-64,50.9265662011326,175,OR,2,0.394252091472382
2022-08-15,50-64,70.7277318453857,253,OR,3,0.394252091472382
2022-11-15,50-64,75.2391975748508,276,OR,4,0.394252091472382
2022-02-15,65+,29.6630494309227,105,OR,1,0.296630494309227
2022-05-15,65+,35.3693556609106,127,OR,2,0.296630494309227
2022-08-15,65+,57.3640920822508,208,OR,3,0.296630494309227
2022-11-15,65+,65.9031270387658,254,OR,4,0.296630494309227
2022-02-15,18-49,62.1744832529903,12267,US,1,0.621744832529903
2022-05-15,18-49,73.8900835837037,14236,US,2,0.621744832529903
2022-08-15,18-49,82.2181255846569,15554,US,3,0.621744832529903
2022-11-15,18-49,87.7776062035852,15764,US,4,0.621744832529903
2022-02-15,50-64,53.3110982393971,14715,US,1,0.533110982393971
2022-05-15,50-64,61.4462922662194,17137,US,2,0.533110982393971
2022-08-15,50-64,74.4440208875876,19786,US,3,0.533110982393971
2022-11-15,50-64,80.9225009080537,20775,US,4,0.533110982393971
2022-02-15,65+,39.4458669290896,7634,US,1,0.394458669290896
2022-05-15,65+,47.2589033127327,9427,US,2,0.394458669290896
2022-08-15,65+,61.8359635475293,11967,US,3,0.394458669290896
2022-11-15,65+,70.6459909485979,13431,US,4,0.394458669290896
2022-02-15,18-49,60.8437203654489,231,PA,1,0.608437203654489
2022-05-15,18-49,71.4428156746363,304,PA,2,0.608437203654489
2022-08-15,18-49,81.0344368603803,344,PA,3,0.608437203654489
2022-11-15,18-49,88.0445807621043,335,PA,4,0.608437203654489
