"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location"
"50-64",3,-14.8161788801792,0.0115122807336091,-0.00022971747720753,1.62730245488407e-06,-9.74411937419159e-07,1.33286091471208e-06,-5.69602115981678e-06,-2.87779093750134e-05,0.000173301164937504,-0.000300366037879729,0.000195440632781583,-1.53764575561806e-05,-3.4205274608889e-05,1.59876689783407e-05,1.19719391922097e-06,1.55246192129547e-05,-5.8689562662581e-05,4.98340016046599e-05,-3.7304920334675e-05,1.2915937202963e-05,0.000121051972268451,-0.000239274595318333,0.0001876452042348,-5.7443272475881e-05,2.75308781479364e-06,-3.47476206959029e-06,-5.95229839519955e-05,0.000215836469014474,-0.000266852453519668,0.000139574646399911,-2.86959879018619e-05,3.12406946176769e-06,-4.96228242975288e-07,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,410.833333333333,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1
"65+",3,-14.6524046717239,0.0123335051466516,-0.000246524256542837,1.7518681692123e-06,-1.05373265395604e-06,1.44077738123597e-06,-6.15154717976078e-06,-3.06964881247864e-05,0.000185482113621139,-0.000313855258705707,0.000188717767409026,-1.13948831867946e-05,-1.25812852352092e-05,-1.49339543846521e-06,5.85678245931148e-06,4.41105322770369e-05,-0.000179381522197247,0.000224353585345075,-0.000110419124304117,1.10409604554948e-05,-8.30670220590385e-06,1.07753498460115e-05,7.64902676331785e-05,-0.000183748773818171,0.000156555483125628,-4.90875420817907e-05,2.76301519370807e-06,-1.75806721262663e-06,5.08996234366924e-06,-1.17343072641151e-05,-7.35799092537985e-05,0.000270367867006955,-0.000324837558239048,0.000165680639190492,-3.34313418763755e-05,3.60082451467587e-06,-5.7102073742886e-07,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333
"0-17",4,-14.892631653495,-0.000386176443743272,1.35496354713546e-06,-1.22935207682242e-09,-7.70945140179707e-07,5.33926096029188e-06,6.66282319225071e-05,-0.000237812470673441,0.000270570035912694,-0.000111377916788519,6.1031291972265e-06,-9.795117992005e-07,1.2639171666716e-05,-4.20266449540362e-06,-7.96994496257534e-05,0.000126050521631213,-5.41404612948443e-05,4.09913847555069e-07,1.4547405047247e-05,-6.35415032719632e-07,-7.02169120365737e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,1111.66666666667,1184.16666666667,1208.33333333333,1232.5,1256.66666666667,1305,1498.33333333333,1546.66666666667,1570.83333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,-15.000545513028,0.000177047186986257,-6.33935806796288e-07,5.86814668810904e-10,5.29158687605269e-07,-3.75699457375853e-06,0.000132727923157986,-0.00041989269353083,0.00053534990489307,-0.000365479617313314,0.000189378711802329,-0.000102004366534354,3.63173419543419e-05,-2.06311949381094e-06,-1.2674504433513e-06,4.17961870440889e-07,8.57191933717361e-06,-2.30672846521123e-05,1.59289659456553e-05,-1.93509000023599e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,1111.66666666667,1305,1329.16666666667,1353.33333333333,1377.5,1474.16666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,-14.9460660614478,-0.000830819064695583,2.91297010914554e-06,-2.64192866658991e-09,5.65372660227824e-07,-3.50883040905755e-06,1.19379124754795e-05,7.58367958637461e-05,-0.000312007570643054,0.000425743589698482,-0.000301902169728767,0.000187887321949455,-0.000142388553910074,6.27708106885974e-05,-2.83028172752618e-06,1.99012531962424e-06,-8.49522498107223e-06,-6.95780216526365e-05,0.000255908600008807,-0.00034427976498162,0.000246274563382711,-0.000128512847571175,3.94167872686289e-05,0.000204371693107219,-0.000592391282060401,0.00067508883386656,-0.000370782444068451,0.000104386373337737,-1.57065205796651e-05,7.05024557652456e-06,-2.65014360006083e-06,-8.0149558540354e-05,3.24513510851566e-05,0,0,0,0,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,1135.83333333333,1160,1184.16666666667,1208.33333333333,1232.5,1256.66666666667,1280.83333333333,1305,1329.16666666667,1353.33333333333,1377.5,1401.66666666667,1425.83333333333,1450,1474.16666666667,1498.33333333333,1546.66666666667,1570.83333333333,-1,-1,-1,-1
"65+",4,-15.0149910838468,0.0002733284469693,-9.87776091224213e-07,9.23673055761412e-10,-5.62764351341498e-07,3.43204910888363e-06,-1.09692738840232e-05,7.57304410336212e-06,0.000176307144108843,-0.000574372352930522,0.000732962448805602,-0.000492816258155841,0.000237652625485255,-0.000111415048264031,3.70777795174583e-05,-5.13958069687187e-06,1.02114491065673e-06,-8.8122199006062e-07,6.19763383624044e-06,-1.49277269105705e-05,9.92779315650192e-06,-1.35508921668254e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,1039.16666666667,1111.66666666667,1329.16666666667,1353.33333333333,1377.5,1474.16666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
